term,raw_count_domain,tf,df_wikipedia,idf,tfidf_score,in_wikipedia,below_min_df
filterbowl,6,2.791759,0,16.673029,46.547086,false,false
innerskin,6,2.791759,0,16.673029,46.547086,false,false
filtercap,6,2.791759,0,16.673029,46.547086,false,false
tipcurl,6,2.791759,0,16.673029,46.547086,false,false
borescoop,6,2.791759,0,16.673029,46.547086,false,false
boroscoop,6,2.791759,0,16.673029,46.547086,false,false
tube,526,7.265301,29898,6.367449,46.261432,true,false
clamp,68,5.219508,2507,8.845788,46.170659,true,false
rotor,92,5.521789,4075,8.360158,46.163022,true,false
limit,1409,8.250636,65221,5.587477,46.100234,true,false
maintenance,1384,8.232733,65049,5.590117,46.021945,true,false
rubber,368,6.908083,22569,6.648652,45.92944,true,false
deliverd,8,3.079442,5,14.881269,45.825999,true,false
washer,45,4.806662,1260,9.533369,45.823685,true,false
airfoil,44,4.78419,1216,9.568885,45.779359,true,false
visuel,14,3.639057,60,12.562155,45.714402,true,false
guid,21,4.044522,215,11.29775,45.694005,true,false
bumper,94,5.543295,4679,8.221976,45.576834,true,false
pneumatic,83,5.418841,3904,8.403016,45.534603,true,false
imperfection,32,4.465736,673,10.159799,45.370978,true,false
detach,52,4.951244,1844,9.152794,45.317715,true,false
seal,465,7.142037,30597,6.344339,45.311506,true,false
clearance,218,6.384495,14644,7.081175,45.209725,true,false
loose,499,7.212606,33095,6.265861,45.193189,true,false
manifold,89,5.488636,4676,8.222617,45.130953,true,false
sensor,158,6.062595,10191,7.443671,45.12796,true,false
clearence,7,2.94591,3,15.286735,45.033346,true,true
pump,246,6.505332,17284,6.915435,44.987194,true,false
leakage,71,5.26268,3382,8.546511,44.97755,true,false
variable,485,7.184149,34116,6.235478,44.796601,true,false
circumferential,30,4.401197,675,10.156836,44.702239,true,false
concave,90,5.49981,5216,8.113351,44.621887,true,false
flowcheck,6,2.791759,1,15.979882,44.611986,true,true
alodine,6,2.791759,1,15.979882,44.611986,true,true
generator,187,6.231109,13579,7.156675,44.594022,true,false
booster,88,5.477337,5125,8.130948,44.535941,true,false
insulation,75,5.317488,4354,8.293949,44.102975,true,false
penetrant,15,3.70805,122,11.860845,43.980607,true,false
starter,288,6.66296,23986,6.587762,43.893995,true,false
exhaust,116,5.75359,8576,7.616189,43.820433,true,false
thrust,154,6.036953,12335,7.252752,43.784519,true,false
pin,222,6.402677,19104,6.815324,43.636318,true,false
alternator,34,4.526361,1137,9.636001,43.616016,true,false
inspectionlot,5,2.609438,0,16.673029,43.507234,false,false
partnr,5,2.609438,0,16.673029,43.507234,false,false
fillercap,5,2.609438,0,16.673029,43.507234,false,false
stopnut,5,2.609438,0,16.673029,43.507234,false,false
shopvisit,5,2.609438,0,16.673029,43.507234,false,false
inpection,5,2.609438,0,16.673029,43.507234,false,false
retification,6,2.791759,2,15.574417,43.480025,true,true
bearing,510,7.234411,44074,5.979381,43.257297,true,false
spray,111,5.70953,9054,7.561957,43.175219,true,false
notch,87,5.465908,6630,7.873518,43.035926,true,false
rub,51,4.931826,2849,8.717955,42.995432,true,false
tip,405,7.003887,37962,6.128662,42.924454,true,false
detector,73,5.290459,5429,8.073334,42.711649,true,false
erosion,161,6.081404,15685,7.012505,42.645879,true,false
cocking,23,4.135494,621,10.240089,42.347828,true,false
syst,19,3.944439,382,10.724994,42.304084,true,false
oil,1433,8.267525,109476,5.069559,41.912709,true,false
aircraft,1357,8.213032,106798,5.094325,41.839853,true,false
